,Units,Simulation 1,Simulation 1,Simulation 2,Simulation 2,Simulation 3,Simulation 3,Simulation 4,Simulation 4,Simulation 5,Simulation 5,Simulation 6,Simulation 6,Simulation 7,Simulation 7,Simulation 8,Simulation 8,Simulation 9,Simulation 9,Simulation 10,Simulation 10,Simulation 11,Simulation 11,Simulation 12,Simulation 12,Simulation 13,Simulation 13,Simulation 14,Simulation 14,Simulation 15,Simulation 15,Simulation 16,Simulation 16,Simulation 17,Simulation 17,Simulation 18,Simulation 18,Simulation 19,Simulation 19,Simulation 20,Simulation 20,Simulation 21,Simulation 21,Simulation 22,Simulation 22,Simulation 23,Simulation 23,Simulation 24,Simulation 24,Simulation 25,Simulation 25,Simulation 26,Simulation 26,Simulation 27,Simulation 27,Simulation 28,Simulation 28,Simulation 29,Simulation 29,Simulation 30,Simulation 30,Simulation 31,Simulation 31,Simulation 32,Simulation 32,Simulation 33,Simulation 33,Simulation 34,Simulation 34,Simulation 35,Simulation 35,Simulation 36,Simulation 36,Simulation 37,Simulation 37,Simulation 38,Simulation 38,Simulation 39,Simulation 39,Simulation 40,Simulation 40,Simulation 41,Simulation 41,Simulation 42,Simulation 42,Simulation 43,Simulation 43,Simulation 44,Simulation 44,Simulation 45,Simulation 45,Simulation 46,Simulation 46,Simulation 47,Simulation 47,Simulation 48,Simulation 48,Simulation 49,Simulation 49,Simulation 50,Simulation 50,Simulation 51,Simulation 51,Simulation 52,Simulation 52,Simulation 53,Simulation 53,Simulation 54,Simulation 54,Simulation 55,Simulation 55,Simulation 56,Simulation 56,Simulation 57,Simulation 57,Simulation 58,Simulation 58,Simulation 59,Simulation 59,Simulation 60,Simulation 60,Simulation 61,Simulation 61,Simulation 62,Simulation 62,Simulation 63,Simulation 63,Simulation 64,Simulation 64,Simulation 65,Simulation 65,Simulation 66,Simulation 66,Simulation 67,Simulation 67,Simulation 68,Simulation 68,Simulation 69,Simulation 69,Simulation 70,Simulation 70,Simulation 71,Simulation 71,Simulation 72,Simulation 72,Simulation 73,Simulation 73,Simulation 74,Simulation 74,Simulation 75,Simulation 75,Simulation 76,Simulation 76,Simulation 77,Simulation 77,Simulation 78,Simulation 78,Simulation 79,Simulation 79,Simulation 80,Simulation 80,Simulation 81,Simulation 81,Simulation 82,Simulation 82,Simulation 83,Simulation 83,Simulation 84,Simulation 84,Simulation 85,Simulation 85,Simulation 86,Simulation 86,Simulation 87,Simulation 87,Simulation 88,Simulation 88,Simulation 89,Simulation 89,Simulation 90,Simulation 90,Simulation 91,Simulation 91,Simulation 92,Simulation 92,Simulation 93,Simulation 93,Simulation 94,Simulation 94,Simulation 95,Simulation 95,Simulation 96,Simulation 96,Simulation 97,Simulation 97,Simulation 98,Simulation 98,Simulation 99,Simulation 99,Simulation 100,Simulation 100,Simulation 101,Simulation 101,Simulation 102,Simulation 102,Simulation 103,Simulation 103,Simulation 104,Simulation 104,Simulation 105,Simulation 105,Simulation 106,Simulation 106,Simulation 107,Simulation 107,Simulation 108,Simulation 108,Simulation 109,Simulation 109,Simulation 110,Simulation 110,Simulation 111,Simulation 111,Simulation 112,Simulation 112,Simulation 113,Simulation 113,Simulation 114,Simulation 114,Simulation 115,Simulation 115,Simulation 116,Simulation 116,Simulation 117,Simulation 117,Simulation 118,Simulation 118,Simulation 119,Simulation 119,Simulation 120,Simulation 120,Simulation 121,Simulation 121,Simulation 122,
fluxsim: Solar azimuth angle (0=N),,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,70,70,70,70,70,70,70,70,70,80,80,80,80,80,80,80,80,80,90,90,90,90,90,90,90,90,90,100,100,100,100,100,100,100,100,100,110,110,110,110,110,110,110,110,110,120,120,120,120,120,120,120,120,120,130,130,130,130,130,130,130,130,130,140,140,140,140,140,140,140,140,140,150,150,150,150,150,150,150,150,150,160,160,160,160,160,160,160,160,160,170,170,170,170,170,170,170,170,170,180,180,180,180,180,180,180,180,180,190,190,190,190,190,190,190,190,190,200,200,200,200,200,200,200,200,200,210,210,210,210,210,210,210,210,210,220,220,220,220,220,220,220,220,220,230,230,230,230,230,230,230,230,230,240,240,240,240,240,240,240,240,240,250,250,250,250,250,250,250,250,250,260,260,260,260,260,260,260,260,260,270,270,270,270,270,270,270,270,270,280,280,280,280,280,280,280,280,280,290,290,290,290,290,290,290,290,290,300,300,300,300,300,300,300,300,300,310,310,310,310,310,310,310,310,310,
fluxsim: Solar elevation angle,,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,0,10,20,30,40,50,60,70,80,
Total plant cost,$,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,351158366.78,
Cost/Energy metric,-,22.877,0.954,0.687,0.614,0.584,0.566,0.553,0.542,0.533,22.940,0.946,0.682,0.610,0.581,0.564,0.551,0.541,0.532,22.156,0.937,0.677,0.606,0.577,0.561,0.549,0.539,0.532,22.810,0.926,0.670,0.601,0.574,0.558,0.547,0.538,0.531,22.158,0.915,0.663,0.596,0.570,0.555,0.545,0.537,0.531,21.855,0.905,0.657,0.592,0.566,0.553,0.543,0.535,0.530,21.451,0.893,0.651,0.587,0.563,0.550,0.541,0.534,0.529,21.294,0.883,0.645,0.583,0.560,0.547,0.539,0.533,0.529,21.140,0.873,0.640,0.579,0.557,0.545,0.538,0.532,0.528,20.561,0.867,0.636,0.576,0.554,0.543,0.536,0.531,0.528,20.060,0.862,0.633,0.574,0.553,0.542,0.535,0.530,0.527,19.865,0.859,0.631,0.572,0.551,0.541,0.534,0.530,0.527,19.855,0.857,0.630,0.571,0.550,0.540,0.534,0.529,0.527,19.856,0.856,0.629,0.571,0.550,0.540,0.534,0.529,0.527,19.987,0.857,0.630,0.571,0.551,0.540,0.534,0.530,0.527,19.962,0.860,0.632,0.573,0.552,0.541,0.535,0.530,0.527,20.192,0.864,0.634,0.575,0.553,0.542,0.536,0.530,0.527,20.699,0.868,0.637,0.577,0.555,0.544,0.537,0.531,0.528,21.327,0.876,0.642,0.581,0.558,0.546,0.538,0.532,0.528,21.469,0.886,0.647,0.584,0.561,0.548,0.540,0.533,0.529,21.674,0.897,0.653,0.589,0.564,0.551,0.542,0.535,0.529,21.864,0.908,0.659,0.593,0.568,0.554,0.544,0.536,0.530,22.201,0.918,0.665,0.598,0.571,0.556,0.546,0.537,0.531,23.038,0.929,0.672,0.602,0.575,0.559,0.548,0.539,0.531,22.093,0.940,0.678,0.607,0.579,0.562,0.550,0.540,0.532,22.698,0.948,0.684,0.611,0.582,0.565,0.552,0.541,0.533,22.718,0.957,0.689,0.615,0.585,0.567,0.554,0.542,0.533,
Simulated heliostat area,m^2,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,1250430.1,
Simulated heliostat count, - ,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,
Power incident on field,kW,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,1187908.6,
Power absorbed by the receiver,kW,16172.8,388002.4,538221.3,602633.7,633514.8,653465.1,669035.2,682880.6,694213.8,16128.9,391121.0,542436.9,606534.2,636924.4,656249.7,671176.3,684320.9,694919.5,16699.2,394900.1,546911.8,610867.5,640753.5,659347.2,673555.7,685924.5,695721.8,16220.2,399725.2,552400.5,615628.1,644808.8,662675.5,676079.2,687604.3,696544.7,16698.0,404509.1,557739.9,620400.4,648993.0,666112.0,678671.2,689340.6,697430.9,16929.6,409038.1,563036.3,625304.8,653185.6,669507.0,681260.3,691058.5,698279.8,17248.1,414366.1,568492.9,630125.3,657177.2,672767.7,683752.6,692710.3,699104.0,17375.1,418930.9,573402.2,634500.5,660945.4,675811.0,686061.9,694254.2,699868.8,17501.6,423601.4,577927.2,638540.4,664362.6,678554.9,688122.0,695638.4,700554.9,17995.2,426842.3,581659.0,642062.3,667333.3,680948.1,689892.0,696815.5,701146.8,18444.1,428977.4,584251.9,644788.0,669661.2,682804.5,691338.3,697740.0,701617.7,18625.6,430896.0,586408.7,646813.4,671372.4,684178.6,692364.9,698407.1,701943.2,18634.9,431948.6,587712.1,648045.0,672348.5,684963.7,692957.6,698797.2,702125.3,18633.5,431996.2,587865.1,648264.8,672636.9,685174.9,693131.8,698901.6,702168.0,18512.0,431791.5,587409.7,647724.2,672095.7,684759.7,692813.9,698707.7,702087.7,18534.8,430368.6,585792.7,646226.8,670867.2,683772.6,692071.0,698229.1,701852.9,18323.2,428255.6,583382.3,643917.2,668945.8,682224.3,690907.0,697460.3,701460.4,17874.6,426074.3,580587.4,640975.5,666412.3,680216.2,689342.9,696457.8,700979.8,17348.5,422420.6,576629.6,637237.6,663287.5,677692.3,687474.1,695221.8,700353.0,17234.0,417482.4,571835.9,633074.4,659736.1,674830.5,685331.2,693775.4,699621.1,17070.4,412665.0,566823.0,628628.1,655906.3,671733.7,682962.8,692199.7,698838.8,16922.5,407573.9,561368.8,623751.3,651847.3,668427.5,680437.1,690513.5,698003.0,16665.2,402951.0,556007.1,618866.9,647684.3,665018.1,677864.2,688789.7,697156.7,16060.2,398274.1,550706.1,614142.1,643515.7,661621.3,675274.1,687050.8,696278.4,16746.7,393660.6,545395.0,609515.0,639542.7,658368.4,672791.6,685402.9,695457.6,16300.9,390098.3,541042.8,605287.0,635847.4,655347.9,670484.2,683844.8,694679.4,16286.1,386703.1,536877.5,601553.6,632588.9,652685.8,668418.2,682454.4,693987.9,
Power absorbed by the HTF,kW,-21747.2,350082.4,500301.3,564713.7,595594.7,615545.1,631115.2,644960.6,656293.7,-21791.1,353201.0,504516.8,568614.1,599004.4,618329.6,633256.2,646400.9,656999.5,-21220.8,356980.1,508991.7,572947.5,602833.5,621427.1,635635.7,648004.5,657801.8,-21699.8,361805.2,514480.5,577708.1,606888.8,624755.5,638159.2,649684.2,658624.7,-21222.0,366589.1,519819.8,582480.4,611073.0,628191.9,640751.2,651420.5,659510.9,-20990.4,371118.1,525116.3,587384.7,615265.6,631587.0,643340.3,653138.4,660359.8,-20672.0,376446.1,530572.9,592205.3,619257.2,634847.7,645832.6,654790.3,661183.9,-20544.9,381010.9,535482.2,596580.5,623025.3,637891.0,648141.9,656334.2,661948.8,-20418.4,385681.4,540007.2,600620.3,626442.6,640634.9,650202.0,657718.3,662634.9,-19924.9,388922.3,543739.0,604142.2,629413.3,643028.1,651972.0,658895.5,663226.8,-19475.9,391057.4,546331.9,606868.0,631741.2,644884.5,653418.3,659820.0,663697.7,-19294.4,392976.0,548488.7,608893.3,633452.4,646258.5,654444.8,660487.1,664023.2,-19285.1,394028.6,549792.1,610124.9,634428.5,647043.6,655037.6,660877.2,664205.2,-19286.5,394076.2,549945.1,610344.8,634716.9,647254.9,655211.8,660981.6,664248.0,-19408.0,393871.4,549489.6,609804.2,634175.7,646839.7,654893.9,660787.7,664167.6,-19385.2,392448.6,547872.7,608306.7,632947.1,645852.6,654150.9,660309.0,663932.9,-19596.9,390335.6,545462.3,605997.1,631025.8,644304.3,652987.0,659540.2,663540.4,-20045.4,388154.3,542667.4,603055.5,628492.3,642296.2,651422.9,658537.8,663059.8,-20571.5,384500.6,538709.6,599317.5,625367.5,639772.3,649554.1,657301.8,662433.0,-20686.1,379562.4,533915.9,595154.4,621816.1,636910.4,647411.2,655855.4,661701.1,-20849.6,374745.0,528902.9,590708.1,617986.3,633813.7,645042.7,654279.6,660918.8,-20997.5,369653.9,523448.7,585831.3,613927.2,630507.5,642517.1,652593.5,660083.0,-21254.8,365030.9,518087.1,580946.9,609764.3,627098.1,639944.2,650869.7,659236.7,-21859.9,360354.1,512786.1,576222.1,605595.6,623701.3,637354.1,649130.8,658358.4,-21173.3,355740.6,507475.0,571594.9,601622.6,620448.4,634871.6,647482.9,657537.6,-21619.1,352178.3,503122.7,567366.9,597927.3,617427.9,632564.1,645924.7,656759.4,-21633.9,348783.1,498957.5,563633.5,594668.9,614765.7,630498.2,644534.4,656067.9,
Cloudiness efficiency,%,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
