azimuth,elevation,efficiency
0,0,0.027911250120275
0,1,0.08830380395849
0,2,0.148262142678505
0,3,0.198085862155628
0,4,0.239586703890815
0,5,0.274973127462375
0,6,0.305174684458681
0,7,0.331571513366011
0,8,0.354839925019223
0,9,0.375458298150348
0,10,0.393602198505862
0,11,0.410102472953835
0,12,0.425491772425225
0,13,0.439554663442269
0,14,0.452625339242397
0,15,0.464588842731108
0,16,0.475841399090549
0,17,0.486373150598897
0,18,0.49637240452004
0,19,0.505728709821052
0,20,0.514689781271935
0,21,0.522897611447165
0,22,0.53059605282192
0,23,0.537827710197094
0,24,0.544585090203993
0,25,0.550717750317372
0,26,0.556525901698122
0,27,0.561972562081865
0,28,0.567059726845209
0,29,0.571727502203483
0,30,0.576330669382214
0,31,0.58050914743056
0,32,0.584484027985691
0,33,0.588380798470981
0,34,0.591830140821279
0,35,0.595351137922037
0,36,0.598759616308799
0,37,0.601786197106543
0,38,0.604894092819097
0,39,0.607590143416389
0,40,0.610509227064135
0,41,0.613082070363615
0,42,0.615677183706948
0,43,0.618168952489731
0,44,0.620492965072159
0,45,0.622635992890549
0,46,0.624942758588318
0,47,0.627205912544461
0,48,0.629249900874222
0,49,0.631233622364146
0,50,0.633287352768487
0,51,0.635159869992172
0,52,0.636894000587019
0,53,0.638640581620963
0,54,0.640648315719834
0,55,0.642226199450848
0,56,0.644052003066992
0,57,0.64567821168313
0,58,0.647237375425574
0,59,0.648822758591418
0,60,0.650366146100775
0,61,0.651966772759935
0,62,0.653515620994494
0,63,0.654981908474089
0,64,0.656581040793018
0,65,0.658226575379352
0,66,0.659627815401467
0,67,0.661198272061536
0,68,0.662696607796225
0,69,0.664042826619438
0,70,0.665432112989356
0,71,0.666794261073952
0,72,0.668140089963899
0,73,0.669540781109479
0,74,0.670850837030538
0,75,0.672037214265989
0,76,0.67321622509003
0,77,0.674288412784586
0,78,0.675540236591385
0,79,0.676697442009773
0,80,0.677549428262513
0,81,0.678775556940269
0,82,0.679616891342722
0,83,0.680705398654128
0,84,0.681535159884654
0,85,0.682248426622033
0,86,0.683031617448712
0,87,0.68380913955835
0,88,0.684417845137692
0,89,0.68504272687477
0,90,0.685479945316224
1,0,0.027900475259599
1,1,0.088246685799029
1,2,0.148018305083496
1,3,0.197761954923718
1,4,0.239313676299063
1,5,0.274695147747417
1,6,0.304814105533305
1,7,0.331217109415946
1,8,0.354435852043258
1,9,0.374922239231473
1,10,0.393105684137523
1,11,0.409689733527026
1,12,0.425141748877304
1,13,0.439307336386782
1,14,0.452231568677786
1,15,0.464146976513167
