Index,   Azimuth [deg], Elevation [deg], Weight [Wh/m^2], Weight [%]
    1,        120.0002,          0.0000,         -6281.8,    -0.2952
    2,        135.9408,         14.7623,         71968.6,     3.3818
    3,        156.0704,         25.2730,         48044.5,     2.2576
    4,        180.0000,         29.1883,         79791.2,     3.7493
    5,        203.9296,         25.2730,         44422.3,     2.0874
    6,        224.0592,         14.7623,         69697.3,     3.2750
    7,        239.9998,          0.0000,         -5889.8,    -0.2768
    8,         90.0000,          0.0000,         19461.1,     0.9145
    9,        104.1252,         17.6957,        108664.1,     5.1060
   10,        121.2803,         34.1699,        121617.2,     5.7147
   11,        145.7142,         47.2084,        176343.8,     8.2863
   12,        180.0000,         52.5883,        165805.9,     7.7911
   13,        214.2858,         47.2084,        172768.0,     8.1182
   14,        238.7197,         34.1699,        119797.6,     5.6292
   15,        255.8748,         17.6957,        116356.5,     5.4675
   16,        270.0000,          0.0000,         19992.7,     0.9394
   17,         59.9998,         -0.0000,          2590.0,     0.1217
   18,         72.4040,         15.8754,         54904.8,     2.5799
   19,         84.1865,         32.8506,         81018.0,     3.8070
   20,         97.8475,         50.1765,        110790.8,     5.2060
   21,        120.5833,         66.6071,         99563.1,     4.6784
   22,        180.0000,         75.9883,        105636.0,     4.9638
   23,        239.4167,         66.6071,         96867.9,     4.5518
   24,        262.1525,         50.1765,        109384.7,     5.1399
   25,        275.8135,         32.8506,         82554.2,     3.8792
   26,        287.5960,         15.8754,         59120.7,     2.7780
   27,        300.0002,         -0.0000,          3154.8,     0.1482
